'bout	b AW t
'cause	k AH z
'course	k AO r s
'cuse	k j UW z
'em	AH m
'frisco	f r IH s k OW
'gain	g EH n
'kay	k EY
'm	AH m
'n	AH n
'round	r AW n d
's	EH s
'til	t IH l
'tis	t IH z
'twas	t w AH z
a	AH
a(2)	EY
a's	EY z
a.	EY
a.'s	EY z
a.d.	EY d IY
a.m.	EY EH m
a.s	EY z
aaa	t r IH p AH l EY
aaberg	AA b ER g
aachen	AA k AH n
aachener	AA k AH n ER
aaker	AA k ER
aalborg	AO l b AO r g
aalborg(2)	AA l b AO r g
aalburg	AE l b ER g
aalen	AE l AH n
aalen(2)	AA l AH n
aaliyah	AA l IY AA
aalseth	AA l s EH TH
aalsmeer	AA l s m IH r
aalto	AA l t OW
aamodt	AA m AH t
aancor	AA n k AO r
aardema	AA r d EH m AH
aardvark	AA r d v AA r k
aardvarks	AA r d v AA r k s
aargh	AA r g
aarhus	AA h UW s
aaron	EH r AH n
aaron's	EH r AH n z
aarons	EH r AH n z
aaronson	EH r AH n s AH n
aaronson(2)	AA r AH n s AH n
aaronson's	EH r AH n s AH n z
aaronson's(2)	AA r AH n s AH n z
aarti	AA r t IY
aase	AA s
aasen	AA s AH n
ab	AE b
ab(2)	EY b IY
aba	EY b IY EY
ababa	AH b AA b AH
ababa(2)	AA b AH b AH
abacha	AE b AH k AH
aback	AH b AE k
abaco	AE b AH k OW
abacus	AE b AH k AH s
abad	AH b AA d
abadaka	AH b AE d AH k AH
abadi	AH b AE d IY
abadie	AH b AE d IY
abair	AH b EH r
abalkin	AH b AA l k IH n
abalone	AE b AH l OW n IY
abalones	AE b AH l OW n IY z
abalos	AA b AA l OW z
abandon	AH b AE n d AH n
abandoned	AH b AE n d AH n d
abandoning	AH b AE n d AH n IH NG
abandonment	AH b AE n d AH n m AH n t
abandonments	AH b AE n d AH n m AH n t s
abandons	AH b AE n d AH n z
abanto	AH b AE n t OW
abarca	AH b AA r k AH
abare	AA b AA r IY
abascal	AE b AH s k AH l
abash	AH b AE SH
abashed	AH b AE SH t
abasia	AH b EY ZH j AH
abate	AH b EY t
abated	AH b EY t IH d
abatement	AH b EY t m AH n t
abatements	AH b EY t m AH n t s
abates	AH b EY t s
abating	AH b EY t IH NG
abattoir	AE b AH t w AA r
abba	AE b AH
abbado	AH b AA d OW
abbas	AH b AA s
abbasi	AA b AA s IY
abbate	AA b EY t
abbatiello	AA b AA t IY EH l OW
abbe	AE b IY
abbe(2)	AE b EY
abbenhaus	AE b AH n h AW s
abbett	AH b EH t
abbeville	AE b v IH l
abbey	AE b IY
abbey's	AE b IY z
abbie	AE b IY
abbitt	AE b IH t
abbot	AE b AH t
abbotstown	AE b AH t s t AW n
abbott	AE b AH t
abbott's	AE b AH t s
abbottstown	AE b AH t s t AW n
abboud	AH b UW d
abboud(2)	AH b AW d
abbreviate	AH b r IY v IY EY t
abbreviated	AH b r IY v IY EY t IH d
abbreviates	AH b r IY v IY EY t s
abbreviating	AH b r IY v IY EY t IH NG
abbreviation	AH b r IY v IY EY SH AH n
abbreviations	AH b r IY v IY EY SH AH n z
abbruzzese	AA b r UW t s EY z IY
abbs	AE b z
abby	AE b IY
abc	EY b IY s IY
abc's	EY b IY s IY z
abco	AE b k OW
abcotek	AE b k OW t EH k
abcs	EY b IY s IY z
abd	EY b IY d IY
abdalla	AE b d AE l AH
abdallah	AE b d AE l AH
abdel	AE b d EH l
abdella	AE b d EH l AH
abdicate	AE b d AH k EY t
abdicated	AE b d AH k EY t IH d
abdicates	AE b d AH k EY t s
abdicating	AE b d IH k EY t IH NG
abdication	AE b d IH k EY SH AH n
abdnor	AE b d n ER
abdo	AE b d OW
abdollah	AE b d AA l AH
abdomen	AE b d OW m AH n
abdomen(2)	AE b d AH m AH n
abdominal	AE b d AA m AH n AH l
abdominal(2)	AH b d AA m AH n AH l
abduct	AE b d AH k t
abducted	AE b d AH k t IH d
abducted(2)	AH b d AH k t IH d
abductee	AE b d AH k t IY
abductees	AE b d AH k t IY z
abducting	AE b d AH k t IH NG
abducting(2)	AH b d AH k t IH NG
abduction	AE b d AH k SH AH n
abduction(2)	AH b d AH k SH AH n
abductions	AE b d AH k SH AH n z
abductions(2)	AH b d AH k SH AH n z
abductor	AE b d AH k t ER
abductor(2)	AH b d AH k t ER
abductors	AE b d AH k t ER z
abductors(2)	AH b d AH k t ER z
abducts	AE b d AH k t s
abdul	AE b d UW l
abdulaziz	AE b d UW l AH z IY z
abdulla	AA b d UW l AH
abdullah	AE b d AH l AH
abe	EY b
abed	AH b EH d
abedi	AH b EH d IY
abee	AH b IY
abel	EY b AH l
abela	AA b EH l AH
abelard	AE b IH l ER d
abele	AH b EH l
abeles	AH b EH l z
abeles(2)	EY b AH l IY z
abell	EY b AH l
abella	AH b EH l AH
abeln	AE b IH l n
abelow	AE b AH l OW
abels	EY b AH l z
abelson	AE b IH l s AH n
abend	AE b EH n d
abend(2)	AH b EH n d
abendroth	AE b IH n d r AO TH
aber	EY b ER
abercrombie	AE b ER k r AA m b IY
aberdeen	AE b ER d IY n
aberford	EY b ER f ER d
aberg	AE b ER g
aberle	AE b ER AH l
aberle(2)	AE b ER l
abermin	AE b ER m IH n
abernathy	AE b ER n AE TH IY
abernethy	AE b ER n EH TH IY
aberrant	AE b EH r AH n t
aberration	AE b ER EY SH AH n
aberrational	AE b ER EY SH AH n AH l
