'cause	k AH z
'em	AH m
's	EH s
'til	t IH l
aaberg	AA b ER g
aachen	AA k AH n
aaker	AA k ER
aalen(2)	AA l AH n
aalsmeer	AA l s m IH r
aamodt	AA m AH t
aaron	EH r AH n
aarons	EH r AH n z
aback	AH b AE k
abadaka	AH b AE d AH k AH
abalones	AE b AH l OW n IY z
abalos	AA b AA l OW z
abandoning	AH b AE n d AH n IH NG
abandonment	AH b AE n d AH n m AH n t
abanto	AH b AE n t OW
abasia	AH b EY ZH j AH
abate	AH b EY t
abbas	AH b AA s
abbitt	AE b IH t
abbott's	AE b AH t s
abboud(2)	AH b AW d
abd	EY b IY d IY
abdel	AE b d EH l
abductees	AE b d AH k t IY z
abductors	AE b d AH k t ER z
abeln	AE b IH l n
abelow	AE b AH l OW
abels	EY b AH l z
abendroth	AE b IH n d r AO TH
aberle(2)	AE b ER l
abermin	AE b ER m IH n
abhorred	AH b h AO r d
abhorrence	AH b h AO r AH n s
abhorrent	AE b h AO r AH n t
abila	AA b IY l AH
abingdon	AE b IH NG d AH n
abloom	AH b l UW m
ablution	AH b l UW SH AH n
aboard	AH b AO r d
abolishes	AH b AA l IH SH IH z
abor	AH b AO r
aboriginal	AE b ER IH JH AH n AH l
abortifacients	AH b AO r t AH f EY SH AH n t s
abortion	AH b AO r SH AH n
abortionist	AH b AO r SH AH n IH s t
abou	AH b UW
abplanalp	AE b p l AH n AE l p
abraham	EY b r AH h AE m
abrasion	AH b r EY ZH AH n
abril	AH b r IH l
abrupt	AH b r AH p t
absalom	AE b s AH l AH m
abscess	AE b s EH s
absence	AE b s AH n s
abshier	AE b SH IY ER
absolved(2)	AE b z AA l v d
absolves(2)	AE b z AA l v z
absolving	AH b z AA l v IH NG
absolving(2)	AE b z AA l v IH NG
absorbency	AH b z AO r b AH n s IY
absorbers	AH b z AO r b ER z
abstain	AH b s t EY n
abstaining	AH b s t EY n IH NG
abstention(2)	AE b s t EH n CH AH n
abstract	AE b s t r AE k t
abstracts	AE b s t r AE k t s
absurdist	AH b s ER d IH s t
absurdities	AH b s ER d AH t IY z
abt(2)	EY b IY t IY
abts(2)	EY b IY t IY z
abuellah's	AH b w EH l AH z
abusive	AH b j UW s IH v
abyss	AH b IH s
academic	AE k AH d EH m IH k
academicians	AE k AH d AH m IH SH AH n z
academicians(2)	AH k AE d AH m IH SH AH n z
academies	AH k AE d AH m IY z
accedes	AE k s IY d z
accentuating	AE k s EH n CH UW EY t IH NG
acceptability	AH k s EH p t AH b IH l AH t IY
accepted(2)	AH k s EH p t IH d
accepting(2)	AH k s EH p t IH NG
accessibility	AE k s EH s AH b IH l IH t IY
accession	AH k s EH SH AH n
accidents	AE k s AH d AH n t s
accion	AE CH IY AH n
accival	AE s IH v AA l
acclaimed	AH k l EY m d
acclaims	AH k l EY m z
accolade	AE k AH l EY d
accomplished	AH k AA m p l IH SH t
accorded	AH k AO r d IH d
according	AH k AO r d IH NG
accordingly	AH k AO r d IH NG l IY
accountability(2)	AH k AW n AH b IH l IH t IY
accretion	AH k r IY SH AH n
accrual	AH k r UW AH l
accruals	AH k r UW AH l z
accrued	AH k r UW d
accumulated	AH k j UW m j AH l EY t IH d
accumulative	AH k j UW m j AH l EY t IH v
accumulator	AH k j UW m j AH l EY t ER
accuracies	AE k j ER AH s IY z
accuray's	AE k j ER EY z
accuride	AE k j ER AY d
accurso	AA k UH r s OW
accusation	AE k j AH z EY SH AH n
accused	AH k j UW z d
accuses	AH k j UW z IH z
ace	EY s
acero	AH s EH r OW
aces	EY s IH z
acetaminophen	AH s IY t AH m IH n AH f AH n
achaean	AH CH IY AH n
achesons	AE CH AH s AH n z
achieve	AH CH IY v
achieved	AH CH IY v d
achill's	AE k IH l z
achilles'	AH k IH l IY z
achor	EY k ER
acidic	AH s IH d IH k
acidification	AH s IH d AH f AH k EY SH AH n
acidly	AE s AH d l IY
acker	AE k ER
acker's	AE k ER z
ackert	AE k ER t
acknowledgement	AE k n AA l IH JH m AH n t
acknowledges	AE k n AA l IH JH IH z
acne	AE k n IY
acquainted(2)	AH k w EY n IH d
acquiescent	AE k w IY EH s AH n t
acquiescing	AE k w IY EH s IH NG
acquiring(2)	AH k w AY ER IH NG
acquisitive	AH k w IH z AH t IH v
acquittals	AH k w IH t AH l z
acre	EY k ER
acreage	EY k ER IH JH
acrid	AE k r IH d
acrimonious	AE k r AH m OW n IY AH s
acro	AE k r OW
acrobats	AE k r AH b AE t s
acrolein	AE k r OW l IY n
acrylic	AH k r IH l IH k
acted	AE k t IH d
actinomycosis	AE k t IH n OW m AY k OW s IH s
actively	AE k t IH v l IY
activism	AE k t IH v IH z AH m
activists'	AE k t IH v IH s t s
activities	AE k t IH v AH t IY z
actmedia	AE k t m IY d IY AH
actuality	AE k CH UW AE l AH t IY
actuaries	AE k CH UW EH r IY z
actuate	AE k CH UW EY t
acuna	AA k UW n AH
acupuncture	AE k j UW p AH NG k CH ER
acuson	AE k j UW s AH n
acutely	AH k j UW t l IY
ad-nauseum	AE d n AO z IY AH m
adair	AH d EH r
adaire	AA d EH r
adak	AH d AE k
adams'	AE d AH m z
adamson	AE d AH m s AH n
adamstown	AE d AH m s t AW n
adar	AH d AA r
addams	AE d AH m z
added	AE d AH d
addendums	AH d EH n d AH m z
addict(2)	AE d IH k t
addiction	AH d IH k SH AH n
addidases	AH d IY d AH s IH z
addison	AE d AH s AH n
additional(2)	AH d IH SH n AH l
address	AE d r EH s
addresses(2)	AH d r EH s IH z
adee	AH d IY
adela	AH d EH l AH
adele's	AH d EH l z
adelle	AH d EH l
adelman(2)	EH d AH l m AH n
adelphia's	AH d EH l f IY AH z
adelsberger	AE d IH l z b ER g ER
adelson	AE d AH l s AH n
adenauer(2)	AE d AH n AW r
adenine	AE d AH n IY n
adey	EY d IY
adger	AE JH ER
adhering	AH d h IH r IH NG
adinolfi	AA d IY n OW l f IY
adios	AA d IY OW s
adipose	AE d AH p OW s
adjacent	AH JH EY s AH n t
adjoin	AH JH OY n
adjusts	AH JH AH s t s
adkins	AE d k IH n z
adler	AE d l ER
adlong	AE d l AO NG
administer	AH d m IH n AH s t ER
administering	AE d m IH n IH s t ER IH NG
administrative	AH d m IH n AH s t r EY t IH v
administrators	AE d m IH n IH s t r EY t ER z
admira	AE d m AY r AH
admirably	AE d m ER AH b l IY
admirer	AE d m AY r ER
admires	AE d m AY r z
admit	AH d m IH t
admitted	AH d m IH t IH d
admonish	AE d m AA n IH SH
admonishes	AE d m AA n IH SH IH z
admonishment	AE d m AA n IH SH m EH n t
admonitions	AE d m AH n IH SH AH n z
adobe's	AH d OW b IY z
adolescence	AE d AH l EH s AH n s
adolescence(2)	AE d OW l EH s AH n s
adolphus	AH d AO l f AH s
adopt	AH d AA p t
adoptable	AH d AA p t AH b AH l
adopter	AH d AA p t ER
adoptive	AH d AA p t IH v
ador	AA d AO r
adorning	AH d AO r n IH NG
adornment	AH d AO r n m AH n t
adria	AA d r IY AH
ads	AE d z
adss(2)	EY d IY EH s EH s
adtec	AE d t EH k
aduliadae	AH d UW l IY AA d EY
adulteration	AH d AH l t ER EY SH AH n
adulterous	AH d AH l t ER AH s
adultery	AH d AH l t ER IY
adults	AH d AH l t s
adults'(2)	AE d AH l t s
adusdur	AE d AH s d ER
advancements	AH d v AE n s m AH n t s
advanta	AE d v AE n t AH
advanta's	AE d v AE n t AH z
advanta's(2)	AH d v AE n t AH z
advantages	AE d v AE n t IH JH IH z
adventist	AE d v EH n t IH s t
adventurer	AE d v EH n CH ER ER
adventurer(2)	AH d v EH n CH ER ER
adventurers(2)	AH d v EH n CH ER ER z
adverb	AE d v ER b
adversaries	AE d v ER s EH r IY z
adverse	AE d v ER s
advertisement(2)	AE d v ER t AY z m AH n t
advertisers	AE d v ER t AY z ER z
advertises	AE d v ER t AY z IH z
advertorial	AE d v ER t AO r IY AH l
advil	AE d v IH l
advised	AE d v AY z d
advisedly(2)	AH d v AY z AH d l IY
adviser	AE d v AY z ER
advises	AE d v AY z IH z
advocating	AE d v AH k EY t IH NG
adweek	AE d w IY k
aeltus	AE l t AH s
aeneas	AE n IY AH s
aerodrome	EH r AH d r OW m
aerojets	EH r OW JH EH t s
aerolift	EH r OW l IH f t
aeromexico's	EH r OW m EH k s IH k OW z
aeronautical	EH r OW n AA t AH k AH l
aerospace's	EH r OW s p EY s IH z
aerospatiale's	EH r OW s p AA s IY AA l z
aeschelus	EH s k AH l AH s
aeschliman	EH SH l IY m AH n
aesthenopia	AE s TH AH n AO p j AH
aesthetically	EH s TH EH t IH k l IY
afanasyev	AE f AH n EY s IY EH v
affected	AH f EH k t IH d
affectionate	AH f EH k SH AH n AH t
affectionately	AH f EH k SH AH n AH t l IY
affidavits	AE f IH d EY v IH t s
affiliates	AH f IH l IY AH t s
affined	AH f AY n d
affinities	AH f IH n AH t IY z
affinity(2)	AH f IH n IH t IY
affirm	AH f ER m
affirmations	AE f ER m EY SH AH n z
affixed	AH f IH k s t
afflicted	AH f l IH k t IH d
afflictions	AH f l IH k SH AH n z
affordability	AH f AO r d AH b IH l AH t IY
affordable	AH f AO r d AH b AH l
affrication	AE f r AH k EY SH AH n
afghanistans	AE f g AE n AH s t AE n z
afghans	AE f g AE n z
afire	AH f AY r
africa's	AE f r AH k AH z
africa(2)	AE f r IH k AH
african	AE f r AH k AH n
african-american	AE f r AH k AH n AH m EH r AH k AH n
africans	AE f r AH k AH n z
afroamerican	AE f r OW AH m EH r AH k AH n
afsane's	AA f s AA n EY z
after-room	AE f t ER r UW m
aftereffect	AE f t ER AH f EH k t
aftermaths	AE f t ER m AE TH s
aftershave	AE f t ER SH EY v
aftershaves	AE f t ER SH EY v z
afterthoughts(2)	AE f t ER TH AO t s
afterwards	AE f t ER w ER d z
afula's	AH f UW l AH z
agache's	AE g AE CH AH z
again(2)	AH g EY n
against	AH g EH n s t
agco	AE g k OW
ageless	EY JH l AH s
agency	EY JH AH n s IY
agenda	AH JH EH n d AH
agendas	AH JH EH n d AH z
agers	EY JH ER z
agerton	EY g ER t AH n
ages	EY JH AH z
agfa	AE g f AH
aggrandizing	AE g r AH n d AY z IH NG
aggravated	AE g r AH v EY t IH d
aggravates	AE g r AH v EY t s
aggressively	AH g r EH s IH v l IY
aggressor	AH g r EH s ER
aghazadeh	AE g AH z AA d EH
agilis	AH JH IH l AH s
aging	EY JH IH NG
aglo	AH g l OW
aglow	AH g l OW
agnellis	AE g n EH l IY z
agner	AE g n ER
agneta	AA g n EH t AH
agnew	AE g n UW
agnico	AE g n IH k OW
agnor	AE g n ER
agonize	AE g AH n AY z
agonizing	AE g AH n AY z IH NG
agony	AE g AH n IY
agora	AE g ER AH
agosta	AA g OW s t AH
agreement's	AH g r IY m AH n t s
agresta	AA g r EH s t AH
agriculturally(2)	AE g r IH k AH l CH r AH l IY
agrigenetics	AE g r AH JH AH n EH t IH k s
agrochemical	AE g r OW k EH m AH k AH l
agroindustrial	AE g r OW IH d AH s t r IY AH l
aguanga	AH g w AA n g AH
aguilar	AE g AH l AA r
aguilo	AH g w IY l OW
aguinaga	AA g UW IY n AA g AH
agustin	AH g AO s t IH n
aha	AA h AA
ahead	AH h EH d
ahlin	AA l IH n
ahmadi	AA m AA d IY
ahold's	AH h OW l d z
aholds	AH h OW l d z
ahuja	AA h UW j AH
aichi	AA IY CH IY
aid	EY d
aiden	EY d EH n
aidid's	AY d IY d z
aiding	EY d IH NG
aids	EY d z
aikens	EY k IH n z
ailene	AY l IY n
ails	EY l z
ailurophile(2)	EY l UH r AH f AY AH l
aim's	EY m z
aimee	EY m IY
aiming	EY m IH NG
