word	medial_cap	medial_lower	initial_cap	classification
a	3626	278761	8141	common
a's	6	0	0	proper
aa	11	0	0	proper
aaa	5	0	0	proper
aaaee	0	0	1	dual
aaawww	1	0	0	proper
aab	2	0	0	proper
aabex	1	0	0	proper
aac	3	0	0	proper
aachener	1	0	0	proper
aagiy	1	0	0	proper
aah	0	0	2	dual
aaica	1	0	0	proper
aaix	1	0	0	proper
aajk	1	0	0	proper
aam	3	0	0	proper
aame	2	0	0	proper
aancor	1	0	0	proper
aap	2	0	0	proper
aar	2	0	1	proper
aare	1	0	0	proper
aarn	1	0	0	proper
aarnoud	1	0	0	proper
aaron	373	0	4	proper
aaronites	2	0	0	proper
aart	0	0	1	dual
aati	1	0	0	proper
aau	1	0	0	proper
aau's	1	0	0	proper
ab	98	4	1	proper
ababa	1	0	0	proper
aback	0	57	0	common
abacus	0	1	0	common
abaddon	1	0	0	proper
abadejo	0	1	0	common
abaft	0	7	0	common
abagtha	1	0	0	proper
abaht	0	1	0	common
abal	1	0	0	proper
abana	1	0	0	proper
abandon	2	196	0	common
abandoned	2	392	0	common
abandonedly	0	2	0	common
abandoning	1	77	2	common
abandonment	0	65	0	common
abandons	0	13	0	common
abarbarea	1	0	0	proper
abarim	5	0	0	proper
abaringe	0	1	0	common
abase	0	10	0	common
abased	0	20	0	common
abasement	0	23	0	common
abases	0	1	0	common
abash	0	4	0	common
abashed	3	73	1	common
abashment	0	1	0	common
abasing	0	6	0	common
abassin	1	0	0	proper
abastecimento	2	0	0	proper
abastecimiento	1	0	0	proper
abate	0	18	0	common
abated	0	48	0	common
abatement	0	16	0	common
abatements	0	3	0	common
abates	2	0	0	proper
abating	0	13	0	common
abatis	0	2	0	common
abattement	0	1	0	common
abattoir	1	0	0	proper
abattoirs	0	3	0	common
abatuno	1	0	0	proper
abb	113	265	0	common
abba	3	0	0	proper
abbana	1	0	0	proper
abbas	7	0	0	proper
abbas's	1	0	0	proper
abbate	1	0	0	proper
abbatial	0	1	0	common
abbe	5	0	0	proper
abbedirect	1	0	0	proper
abbenhaus	1	0	0	proper
abberations	0	1	0	common
abberent	0	1	0	common
abbescotch	1	0	0	proper
abbess	1	8	0	common
abbett	14	0	0	proper
abbey	228	24	2	proper
abbeyland	1	0	0	proper
abbk	1	0	0	proper
abbot	39	18	2	proper
abbots	1	1	0	proper
abbott	5	0	5	proper
abboud	1	0	0	proper
abbreviate	0	3	0	common
abbreviated	0	3	0	common
abbreviation	0	7	0	common
abbreviations	0	4	0	common
abbs	0	4	0	common
abby	0	1	0	common
abc	6	0	0	proper
abchurch	33	0	1	proper
abd	1	0	0	proper
abda	2	0	0	proper
abdallah	1	0	0	proper
abdeel	1	0	0	proper
abdel	4	0	0	proper
abdelaziz	2	0	0	proper
abdi	3	0	0	proper
abdicate	0	6	0	common
abdicated	0	5	0	common
abdicates	0	3	0	common
abdicating	0	1	0	common
abdication	0	11	0	common
abdiel	6	0	0	proper
abdomen	0	11	0	common
abdomens	0	2	0	common
abdominal	0	4	0	common
abdominis	0	1	0	common
abdon	8	0	0	proper
abducted	0	2	0	common
abducting	0	1	0	common
abduction	0	16	0	common
abductors	0	2	0	common
abducts	0	1	0	common
abdul	20	0	1	proper
abdulaziz	2	0	0	proper
abdulla	2	0	0	proper
abdullah	3	0	0	proper
abdy	1	0	0	proper
abe	9	1	2	proper
abeam	0	2	0	common
abear	0	10	0	common
abed	0	18	0	common
abednego	17	0	0	proper
abegglen	2	0	0	proper
abeilard	1	0	0	proper
abeille	1	0	0	proper
abel	81	0	9	proper
abel's	1	0	0	proper
