# page: gender_names
# rule: gender-from-name
# The lesson: a first name carries grammatical gender for reflexive
# choice — Karla praised herself; John praised himself. Coverage is
# the list; the judge abstains off-list.
# provenance: lesson:gender_names — a textbook list of common first
# names, transcribed from grammar knowledge, NOT mined and NOT peeked
# from any benchmark.
karla -> f
sarah -> f
maria -> f
anna -> f
emily -> f
alice -> f
carol -> f
diane -> f
donna -> f
ellen -> f
gina -> f
helen -> f
irene -> f
janet -> f
karen -> f
laura -> f
linda -> f
megan -> f
nancy -> f
pamela -> f
rachel -> f
susan -> f
tina -> f
wendy -> f
amy -> f
beth -> f
claire -> f
dana -> f
erica -> f
fiona -> f
katherine -> f
catherine -> f
elizabeth -> f
margaret -> f
patricia -> f
barbara -> f
jennifer -> f
jessica -> f
ashley -> f
amanda -> f
stephanie -> f
melissa -> f
nicole -> f
heather -> f
michelle -> f
kimberly -> f
lisa -> f
angela -> f
cynthia -> f
deborah -> f
sharon -> f
kathleen -> f
ruth -> f
carrie -> f
julia -> f
grace -> f
rose -> f
lucy -> f
martha -> f
ann -> f
anne -> f
marie -> f
diana -> f
carla -> f
monica -> f
veronica -> f
valerie -> f
natalie -> f
vanessa -> f
christine -> f
rebecca -> f
laurie -> f
leslie -> f
dawn -> f
april -> f
tanya -> f
sonia -> f
rita -> f
gloria -> f
john -> m
james -> m
robert -> m
michael -> m
william -> m
david -> m
richard -> m
joseph -> m
thomas -> m
charles -> m
daniel -> m
matthew -> m
mark -> m
paul -> m
steven -> m
kevin -> m
brian -> m
george -> m
edward -> m
ronald -> m
kenneth -> m
adam -> m
alan -> m
bruce -> m
carl -> m
dennis -> m
eric -> m
frank -> m
gary -> m
henry -> m
christopher -> m
anthony -> m
donald -> m
andrew -> m
joshua -> m
kyle -> m
brandon -> m
jacob -> m
ryan -> m
justin -> m
scott -> m
gregory -> m
jeffrey -> m
stephen -> m
timothy -> m
jose -> m
larry -> m
jerry -> m
patrick -> m
sean -> m
carlos -> m
raymond -> m
douglas -> m
peter -> m
walter -> m
harold -> m
roger -> m
keith -> m
samuel -> m
benjamin -> m
lawrence -> m
nicholas -> m
todd -> m
craig -> m
alexander -> m
jonathan -> m
philip -> m
leonard -> m
bradley -> m
travis -> m
marcus -> m
victor -> m
martin -> m
derek -> m
clifford -> m
