word	stem	suffix	expected_phones	actual_phones	class	altered_phone	subfamily
abnormally	abnormal	ly	AE b n AO r m AH l l IY	AE b n AO r m AH l IY	elision	l	degemination
abusing	abuse	ing	AH b j UW s IH NG	AH b j UW z IH NG	mutation	z	voicing-sz
accidentally	accidental	ly	AE k s AH d EH n t AH l l IY	AE k s AH d EH n t AH l IY	elision	l	degemination
acquiring	acquire	ing	AH k w AY ER IH NG	AH k w AY r IH NG	mutation	r	
additionally	additional	ly	AH d IH SH AH n AH l l IY	AH d IH SH AH n AH l IY	elision	l	degemination
addressing	address	ing	AE d r EH s IH NG	AH d r EH s IH NG	mutation	AH	
administratively	administrative	ly	AH d m IH n AH s t r EY t IH v l IY	AE d m IH n AH s t r EY t IH v l IY	mutation	AE	
admittedly	admitted	ly	AH d m IH t IH d l IY	AE d m IH t IH d l IY	mutation	AE	
advertisement	advertise	ment	AE d v ER t AY z m AH n t	AE d v ER t AH z m AH n t	mutation	AH	
advisement	advise	ment	AE d v AY z m AH n t	AH d v AY z m AH n t	mutation	AH	
advocating	advocate	ing	AE d v AH k AH t IH NG	AE d v AH k EY t IH NG	mutation	EY	
allegedly	alleged	ly	AH l EH JH d l IY	AH l EH JH AH d l IY	insertion	AH	
alternating	alternate	ing	AO l t ER n AH t IH NG	AO l t ER n EY t IH NG	mutation	EY	
annually	annual	ly	AE n j UW AH l l IY	AE n j UW AH l IY	elision	l	degemination
appropriately	appropriate	ly	AH p r OW p r IY AH t l IY	AH p r OW p r IY IH t l IY	mutation	IH	
appropriating	appropriate	ing	AH p r OW p r IY AH t IH NG	AH p r OW p r IY EY t IH NG	mutation	EY	
argument	argue	ment	AA r g j UW m AH n t	AA r g j AH m AH n t	mutation	AH	
artfully	artful	ly	AA r t f AH l l IY	AA r t f AH l IY	elision	l	degemination
artificially	artificial	ly	AA r t AH f IH SH AH l l IY	AA r t AH f IH SH AH l IY	elision	l	degemination
associating	associate	ing	AH s OW s IY AH t IH NG	AH s OW s IY EY t IH NG	mutation	EY	
assuredly	assured	ly	AH SH UH r d l IY	AH SH UH r AH d l IY	insertion	AH	
averaging	average	ing	AE v ER IH JH IH NG	AE v r IH JH IH NG	mutation	r	
awfulness	awful	ness	AA f AH l n AH s	AO f AH l n AH s	mutation	AO	
awkwardly	awkward	ly	AA k w ER d l IY	AO k w ER d l IY	mutation	AO	
awkwardness	awkward	ness	AA k w ER d n AH s	AO k w ER d n AH s	mutation	AO	
bailly	bail	ly	b EY l l IY	b EY l IY	elision	l	degemination
bargaining	bargain	ing	b AA r g AH n IH NG	b AA r g IH n IH NG	mutation	IH	
bashfulness	bashful	ness	b AE SH f AH l n AH s	b AE SH f AH l n EH s	mutation	EH	
believer	believe	er	b IH l IY v ER	b AH l IY v ER	mutation	AH	
blithely	blithe	ly	b l AY DH l IY	b l AY TH l IY	mutation	TH	
boldest	bold	est	b OW l d AH s t	b OW l d IH s t	mutation	IH	
bonner	bonn	er	b AA n ER	b AO n ER	mutation	AO	
broadest	broad	est	b r AO d AH s t	b r AO d IH s t	mutation	IH	
brutally	brutal	ly	b r UW t AH l l IY	b r UW t AH l IY	elision	l	degemination
candidly	candid	ly	k AE n d AH d l IY	k AE n d IH d l IY	mutation	IH	
capitalizing	capitalize	ing	k AE p AH t AH l AY z IH NG	k AE p IH t AH l AY z IH NG	mutation	IH	
carefully	careful	ly	k EH r f AH l l IY	k EH r f AH l IY	elision	l	degemination
carefulness	careful	ness	k EH r f AH l n AH s	k EH r f AH l n EH s	mutation	EH	
carrier	carrie	er	k EH r IY ER	k AE r IY ER	mutation	AE	
casually	casual	ly	k AE ZH AH w AH l l IY	k AE ZH AH w AH l IY	elision	l	degemination
cautioning	caution	ing	k AA SH AH n IH NG	k AO SH AH n IH NG	mutation	AO	
ceaseless	cease	less	s IY s l AH s	s IY s l IH s	mutation	IH	
centrally	central	ly	s EH n t r AH l l IY	s EH n t r AH l IY	elision	l	degemination
cheerfully	cheerful	ly	CH IH r f AH l l IY	CH IH r f AH l IY	elision	l	degemination
chuckling	chuckle	ing	CH AH k AH l IH NG	CH AH k l IH NG	elision	AH	
cleansing	cleans	ing	k l IY n z IH NG	k l EH n z IH NG	mutation	EH	
clearest	clear	est	k l IH r AH s t	k l IH r IH s t	mutation	IH	
closeness	close	ness	k l OW s n AH s	k l OW s n IH s	mutation	IH	
closing	close	ing	k l OW s IH NG	k l OW z IH NG	mutation	z	voicing-sz
coinciding	coincide	ing	k OW IH n s AY d IH NG	k OW AH n s AY d IH NG	mutation	AH	
colouring	colour	ing	k AH l ER IH NG	k AH l ER r IH NG	insertion	r	
combating	combat	ing	k AA m b AE t IH NG	k AH m b AE t IH NG	mutation	AH	
combining	combine	ing	k AA m b AY n IH NG	k AH m b AY n IH NG	mutation	AH	
comically	comical	ly	k AA m IH k AH l l IY	k AA m IH k AH l IY	elision	l	degemination
