lemma	form	tags	attested_count	pron_exact	ortho_exact	onomastic	case_evidence
detail	detailing	V;V.PTCP;PRS	6	yes	yes	no	common (6/321 medial-cap, 0 initial)
professional	professionals	N;PL/V;PRS;3;SG	20	yes	yes	no	common (10/456 medial-cap, 3 initial)
melon	melons	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/27 medial-cap, 0 initial)
instruction	instructions	N;PL/V;PRS;3;SG	59	yes	yes	no	common (2/176 medial-cap, 0 initial)
sierra	sierras	N;PL/V;PRS;3;SG	7	yes	yes	no	proper (32/39 medial-cap, 3 initial)
liken	likened	V;PST/V;V.PTCP;PST	13	yes	yes	no	common (1/14 medial-cap, 0 initial)
attract	attracting	V;V.PTCP;PRS	14	yes	yes	no	common (2/187 medial-cap, 0 initial)
gould	goulding	V;V.PTCP;PRS	7	yes	yes	no	proper (18/18 medial-cap, 9 initial)
accrual	accruals	N;PL/V;PRS;3;SG	6	yes	yes	no	common (3/30 medial-cap, 0 initial)
protect	protected	V;PST/V;V.PTCP;PST	102	yes	yes	no	common (2/296 medial-cap, 3 initial)
sight	sighting	V;V.PTCP;PRS	5	yes	yes	no	common (13/2689 medial-cap, 7 initial)
cymbal	cymbals	N;PL/V;PRS;3;SG	18	yes	yes	no	common (0/5 medial-cap, 0 initial)
belonging	belongings	N;PL/V;PRS;3;SG	9	yes	yes	no	common (4/344 medial-cap, 0 initial)
inform	informing	V;V.PTCP;PRS	12	yes	yes	no	common (5/345 medial-cap, 5 initial)
coat	coated	V;PST/V;V.PTCP;PST	14	yes	yes	no	common (10/1568 medial-cap, 0 initial)
sicken	sickening	V;V.PTCP;PRS	7	yes	yes	no	common (0/12 medial-cap, 0 initial)
wiggin	wiggins	N;PL/V;PRS;3;SG	6	yes	yes	no	no-census
dwell	dwelled	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (4/532 medial-cap, 1 initial)
unbound	unbounded	V;PST/V;V.PTCP;PST	8	yes	yes	no	common (0/12 medial-cap, 0 initial)
afford	affords	N;PL/V;PRS;3;SG	10	yes	yes	no	common (0/450 medial-cap, 0 initial)
vacation	vacations	N;PL/V;PRS;3;SG	11	yes	yes	no	common (2/107 medial-cap, 0 initial)
resist	resisting	V;V.PTCP;PRS	27	yes	yes	no	common (3/351 medial-cap, 2 initial)
broaden	broadened	V;PST/V;V.PTCP;PST	14	yes	yes	no	common (1/18 medial-cap, 0 initial)
expectation	expectations	N;PL/V;PRS;3;SG	157	yes	yes	no	common (4/331 medial-cap, 2 initial)
condescend	condescending	V;V.PTCP;PRS	10	yes	yes	no	common (0/76 medial-cap, 0 initial)
offense	offenses	N;PL/V;PRS;3;SG	7	yes	yes	no	common (0/39 medial-cap, 0 initial)
faith	faiths	N;PL/V;PRS;3;SG	12	yes	yes	no	common (49/1181 medial-cap, 38 initial)
colour	colouring	V;V.PTCP;PRS	14	yes	yes	no	common (7/677 medial-cap, 0 initial)
deliver	delivers	N;PL/V;PRS;3;SG	11	yes	yes	no	common (8/547 medial-cap, 21 initial)
litter	littered	V;PST/V;V.PTCP;PST	9	yes	yes	no	common (0/60 medial-cap, 0 initial)
